Data,1097.7,732.383,1479940002521
Data,1094.01,731.744,1479940002553
End,1086.63,730.467,1479940002584
Begin,1081.84,742.7,1479940002611
Data,1087.83,734.917,1479940002643
Data,1087.94,735.631,1479940002656
Data,1088.7,734.911,1479940002688
Data,1090.31,731.765,1479940002701
Data,1089.57,731.593,1479940002734
Data,1092.51,737.637,1479940002746
Data,1097.71,746.216,1479940002778
Data,1094.43,746.122,1479940002791
Data,1087.63,746.347,1479940002823
Data,1084.23,745.806,1479940002835
Data,1081.92,746.281,1479940002881
End,1077.29,747.232,1479940002898
Begin,1068.5,737.603,1479940002925
Data,1077.89,737.606,1479940002958
Data,1079.39,740.623,1479940002970
Data,1076.33,744.597,1479940003002
End,1070.23,752.544,1479940003034
Begin,1065.63,774.816,1479940003825
Data,1074.73,768.981,1479940003857
Data,1080.95,766.494,1479940003870
Data,1080.56,769.564,1479940003903
End,1079.78,775.705,1479940003934
Begin,1077.9,767.29,1479940004275
Data,1079.77,763.561,1479940004308
Data,1091.21,759.34,1479940004320
Data,1097.82,762.301,1479940004353
End,1111.04,768.223,1479940004383
Begin,1084.55,759.191,1479940004455
Data,1087.29,755.642,1479940004487
Data,1084.85,751.079,1479940004501
Data,1103.32,739.858,1479940004535
End,1140.26,717.415,1479940004547
Begin,1032.25,763.49,1479940004591
End,-nan(ind),-nan(ind),1479940004624
Begin,1042.39,780.265,1479940004725
Data,1046.46,769.382,1479940004757
Data,1052.67,761.541,1479940004770
Data,1062.07,755.823,1479940004802
End,1080.87,744.386,1479940004834
Begin,1038.41,767.126,1479940005355
Data,1044.38,765.031,1479940005387
End,1056.33,760.842,1479940005400
Begin,1085.49,735.883,1479940007606
Data,1084.14,738.444,1479940007639
End,1081.43,743.565,1479940007651
Begin,1090.7,725.686,1479940007786
Data,1097.6,728.764,1479940007832
End,1111.39,734.919,1479940007847
Begin,907.661,563.209,1479940008493
End,-nan(ind),-nan(ind),1479940008523
Begin,1100.48,567.745,1479940013174
Data,1083.65,565.569,1479940013204
End,1050,561.216,1479940013232
Begin,983.55,541.764,1479940016086
Data,976.796,533.834,1479940016100
Data,984.985,518.967,1479940016129
Data,977.391,512.962,1479940016147
End,-nan(ind),-nan(ind),1479940016174
Begin,1130.84,822.291,1479940018048
Data,1130.82,819.836,1479940018080
End,1130.79,814.927,1479940018091
Begin,1151.11,960.182,1479940018992
Data,1155.6,952.825,1479940019026
Data,1151.94,946.015,1479940019036
End,1144.63,932.394,1479940019054
Begin,1154.74,990.533,1479940019280
Data,1148.07,993.211,1479940019295
End,1134.74,998.567,1479940019307
Begin,1178.77,1016.29,1479940019624
Data,1171.62,1015.13,1479940019654
End,1157.33,1012.8,1479940019685
Begin,1051.64,889.517,1479940019936
End,1051,898.681,1479940019953
Begin,1090.97,923.616,1479940020071
Data,1089,924.634,1479940020089
Data,1080.88,934.62,1479940020103
End,-nan(ind),-nan(ind),1479940020149
Begin,1068.96,935.042,1479940020179
Data,1069.73,928.52,1479940020206
End,1071.25,915.476,1479940020223
Begin,1087.13,960.252,1479940020285
Data,1083.2,971.216,1479940020296
Data,1090.99,960.451,1479940020332
End,1106.57,938.92,1479940020347
Begin,1100.43,931.927,1479940020388
Data,1079.12,938.682,1479940020433
End,1036.51,952.19,1479940020449
Begin,1020.95,886.127,1479940020476
End,-nan(ind),-nan(ind),1479940020512
Begin,1099.04,762.033,1479940020657
End,1101.1,766.694,1479940020674
Begin,1105.9,754.971,1479940020735
Data,1107.55,758.611,1479940020747
Data,1108.21,755.347,1479940020780
End,1109.55,748.82,1479940020793
Begin,1148.83,515.63,1479940021003
Data,1136.57,498.34,1479940021036
Data,1130.23,495.49,1479940021049
Data,1117.85,474.924,1479940021080
End,1093.1,433.792,1479940021094
Begin,1172.34,448.124,1479940021544
Data,1169.43,440.188,1479940021575
Data,1161.45,437.383,1479940021590
Data,1158.32,434.331,1479940021634
End,1152.05,428.227,1479940021647
Begin,1169.26,455.978,1479940021724
Data,1162.86,442.355,1479940021754
End,1150.07,415.11,1479940021782
Begin,1150.11,411.86,1479940021859
Data,1153.23,415.976,1479940021889
Data,1158.01,417.583,1479940021903
Data,1140.04,420.759,1479940021935
Data,1124.9,417.761,1479940021948
Data,1125.64,409.126,1479940021978
Data,1119.85,403.9,1479940021993
Data,1111.99,405.165,1479940022024
Data,1106.88,404.174,1479940022038
End,-nan(ind),-nan(ind),1479940022084
Begin,1034.27,702.207,1479940022442
Data,1032.11,699.082,1479940022472
End,1027.81,692.831,1479940022487
Begin,998.084,463.608,1479940022893
Data,997.31,471.035,1479940022923
Data,995.565,475.761,1479940022937
Data,991.91,481.757,1479940022984
End,984.599,493.75,1479940022995
Begin,999.42,549.587,1479940023073
Data,1004.53,542.204,1479940023103
End,1014.75,527.438,1479940023131
Begin,1015.27,501.699,1479940023163
Data,1017.5,487.958,1479940023194
Data,1020.47,478.151,1479940023210
Data,1021.72,473.294,1479940023239
Data,1021.04,471.215,1479940023256
Data,1018.56,470.941,1479940023285
Data,1016.29,468.677,1479940023298
Data,1011.69,463.549,1479940023328
Data,1011.06,459.674,1479940023342
Data,1012.36,458.623,1479940023373
End,1014.95,456.521,1479940023387
Begin,1055.78,991.254,1479940023523
Data,1059.5,983.892,1479940023535
Data,1065.06,978.692,1479940023553
Data,1063.69,979.593,1479940023582
Data,1063.64,977.558,1479940023602
End,1063.54,973.489,1479940023617
Begin,1029,939.761,1479940023759
Data,1031,939.311,1479940023778
Data,1031.2,942.706,1479940023792
Data,1031.45,946.844,1479940023804
Data,1033.69,950.317,1479940023823
Data,1036.09,952.555,1479940023837
Data,1035.36,950.827,1479940023850
Data,1034.69,949.954,1479940023885
Data,1037.18,949.74,1479940023894
Data,1038.36,949.113,1479940023912
Data,1040,948.141,1479940023927
Data,1040.06,949.534,1479940023939
Data,1040.61,948.692,1479940023957
Data,1042.8,947.778,1479940023973
Data,1044.75,946.66,1479940024021
Data,1047.3,948.434,1479940024069
Data,1048.98,947.696,1479940024069
Data,1049.53,946.295,1479940024089
Data,1051.63,945.432,1479940024119
Data,1050.22,945.65,1479940024127
End,1047.4,946.086,1479940024132
Begin,1073.39,951.267,1479940024227
Data,1092.03,952.402,1479940024255
Data,1102.33,959.694,1479940024273
End,1122.94,974.277,1479940024287
Begin,1069.56,973.93,1479940024334
Data,1070.47,970.378,1479940024345
Data,1069.73,968.913,1479940024363
Data,1066.31,970.689,1479940024378
Data,1057.73,979.159,1479940024391
Data,1056.34,980.028,1479940024407
Data,1055.44,977.2,1479940024423
Data,1060.8,972.775,1479940024435
Data,1062.71,973.872,1479940024453
Data,1061.89,973.741,1479940024481
Data,1063.22,971.954,1479940024498
Data,1063.16,972.684,1479940024513
Data,1060.73,974.474,1479940024530
Data,1058.4,977.855,1479940024543
Data,1061.48,980.831,1479940024558
Data,1064.56,980.911,1479940024570
Data,1069,975.145,1479940024590
Data,1070.53,969.77,1479940024603
Data,1071.73,970.069,1479940024634
Data,1073.23,968.077,1479940024648
Data,1076.15,964.3,1479940024661
Data,1077.22,960.223,1479940024678
Data,1074.8,962.085,1479940024693
Data,1072.7,963.471,1479940024705
Data,1074.67,958.05,1479940024723
Data,1077.59,953.719,1479940024751
End,1083.43,945.056,1479940024784
Begin,1066.12,964.909,1479940024813
End,-nan(ind),-nan(ind),1479940024840
Begin,1086.75,966.909,1479940024903
Data,1087.59,965.265,1479940024932
